manufacturer_id,Make,Model,ModelYear,CampaignNumber,ReportReceivedDate,Component,Summary,ManufacturerGroup,CriticalKeywordFlag
3,ford,Transit Connect,2014,15V005000,09/01/2015,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Ford Motor Company (Ford) notified the agency on January 8, 2015, that they are recalling certain model year 2014 Ford Escape vehicles manufactured April 15, 2014, to May 8, 2014, and 2015 Lincoln MKC vehicles manufactured April 21, 2014, to May 15, 2014.  On April 30, 2015, Ford expanded the recall to cover an additional 45,505 vehicles, including certain model year 2014-2015 Ford Transit Connect vehicles manufactured November 11, 2013, to August 29, 2014, 2014-2015 Ford Fiesta vehicles manufactured April 10, 2014, to June 17, 2014 and 2014 Ford Edge vehicles manufactured April 30, 2014, to May 21, 2014.  Improper nickel plating of components within the fuel pump may result in the fuel pump failing.",domestic,0
3,ford,Transit Connect,2014,14V406000,02/07/2014,EQUIPMENT:OTHER:LABELS,"Ford Motor Company (Ford) is recalling certain model year 2014 Transit Connect vehicles manufactured March 1, 2014, through May 15, 2014. The affected vehicles may have a brake reservoir cap that does not have the required text advising owners which brake fluid the vehicle uses.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard No. 135, ""Light Vehicle Brake Systems.""",domestic,1
3,ford,Transit Connect,2014,14V703000,05/11/2014,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS","Ford Motor Company (Ford) is recalling certain model year 2014 Transit Connect vehicles manufactured August 1, 2013, to July 10, 2014.  In the affected vehicles, the fuel and vapor lines may have been incorrectly installed in the engine compartment, allowing the two lines to make contact.",domestic,0
3,ford,Transit Connect,2014,22V413000,10/06/2022,POWER TRAIN:AUTOMATIC TRANSMISSION:GEAR POSITION INDICATION (PRNDL),"Ford Motor Company (Ford) is recalling certain 2013-2019 Escape, 2013-2018 C-Max, 2013-2016 Fusion, 2013-2021 Transit Connect, and  2015-2018 Edge vehicles.  The bushing that attaches the shifter cable to the transmission may degrade or detach.",domestic,0
3,ford,Transit Connect,2014,23V502000,21/07/2023,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Ford Motor Company (Ford) is recalling certain 2014-2016 Transit Connect vehicles.  The front door latch pawl may crack and prevent the door from latching.,domestic,0
3,ford,C-Max,2014,18V592000,10/09/2018,EQUIPMENT:ELECTRICAL,"Ford Motor Company (Ford) is recalling certain 120V Convenience charge cords that were supplied with and sold for use with 2013-2015 Ford C-Max Energi and Fusion Energi vehicles and 2012-2015 Ford Focus Electric vehicles.  Cords with part numbers FM58-10B706-AA, FM58-10B706-AB, FM58-10B706-AC, FM58-10B706-AD, FM58-10B706-AE and FM58-10B706-AF were manufactured without thermistors, and during vehicle charging, increased resistance in the house's outlet or wiring can cause the cord to overheat and melt.",domestic,0
3,ford,C-Max,2014,16V643000,06/09/2016,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) is recalling certain model year 2012-2015 Ford Focus, 2013-2015 Ford Escape and Ford C-MAX, 2015 Lincoln MKC and Ford Mustang, and 2014-2016 Ford Transit Connect vehicles.  A component within the door latches may break, preventing the doors from latching and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,C-Max,2014,14V597000,26/09/2014,AIR BAGS,"Ford Motor Company (Ford) is recalling certain model year 2013-2014 Ford C-Max vehicles manufactured January 19, 2012, to November 21, 2013; Ford Fusion vehicles manufactured February 3, 2012, to August 24, 2013; Ford Escape vehicles manufactured October 5, 2011, to November 1, 2013; and Lincoln MKZ vehicles manufactured April 25, 2012, to September 30, 2013.  The coating on portions of the Restraint Control Module (RCM) may crack, and when exposed to humidity, circuits on the printed circuit board may short.",domestic,0
3,ford,C-Max,2014,14V237000,07/05/2014,AIR BAGS:FRONTAL:SENSOR/CONTROL MODULE-INACTIVE,"Ford Motor Company (Ford) is recalling certain model year 2013-2014 C-MAX, and Escape vehicles.  In the affected vehicles, the restraint control module (RCM) may have errors in the programming software which may result in a delayed deployment of the side-curtain rollover air bag.",domestic,1
3,ford,C-Max,2014,14V514000,22/08/2014,STEERING,"Ford Motor Company (Ford) is recalling certain model year 2014 Focus and C-Max vehicles manufactured August 8, 2014, to August 15, 2014.  The affected vehicles may have steering gears that were incorrectly assembled.",domestic,1
3,ford,C-Max,2014,14V164000,02/04/2014,SEATS:FRONT ASSEMBLY:RECLINER,"Ford Motor Company (Ford) is recalling certain model year 2013-2014 Ford Fusion and Lincoln MKZ vehicles manufactured August 15, 2012, through September 10, 2013, 2013-2014 Ford Escape vehicles manufactured June 5, 2012, through August 12, 2013, and 2013-2014 Ford C-Max vehicles manufactured from July 23, 2012, through May 28, 2013.  The driver and passenger seatback assemblies may have been produced with sub-standard weld joints used to attach the seat back recliner mechanism to the seat frame. The affected seat backs may have insufficient strength to meet the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 207, ""Seating Systems.""",domestic,0
3,ford,C-Max,2014,20V331000,08/06/2020,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) is recalling certain 2011-2014 Fiesta, 2013-2014 Fusion, 2015 Mustang, 2013-2015 Escape and C-Max, 2012-2015 Focus, 2014-2016 Transit Connect, 2013-2014 Lincoln MKZ, and 2015 MKC vehicles.  These vehicles were previously recalled and repaired under recalls 15V-246, 16V-643 or 17V-210, however the repair may not have been completed properly.  A component within the door latches may break making the doors difficult to latch and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,C-Max,2014,22V413000,10/06/2022,POWER TRAIN:AUTOMATIC TRANSMISSION:GEAR POSITION INDICATION (PRNDL),"Ford Motor Company (Ford) is recalling certain 2013-2019 Escape, 2013-2018 C-Max, 2013-2016 Fusion, 2013-2021 Transit Connect, and  2015-2018 Edge vehicles.  The bushing that attaches the shifter cable to the transmission may degrade or detach.",domestic,0
3,ford,Fiesta,2014,17V209000,27/03/2017,ENGINE AND ENGINE COOLING:ENGINE,"Ford Motor Company (Ford) is recalling certain 2014 Escape, 2014-2015 Fiesta ST, 2013-2014 Fusion and 2013-2015 Transit Connect vehicles equipped with 1.6L GTDI engines.  If the vehicle is started and driven with an insufficient level of coolant within the engine cooling system, the engine cylinder head may overheat, crack and leak oil.",domestic,0
3,ford,Fiesta,2014,17V210000,27/03/2017,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) is recalling certain 2014 Ford Fiesta, 2013-2014 Ford Fusion and 2013-2014 Lincoln MKZ vehicles.  A component within the door latches may break making the doors difficult to latch and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,Fiesta,2014,15V246000,24/04/2015,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) notified the agency on April 23, 2015, that they are recalling certain model year 2013-2014 Ford Fusion and Lincoln MKZ vehicles manufactured July 1, 2012, to May 31, 2013, and 2012-2014 Fiesta vehicles manufactured February 1, 2012, to May 31, 2013.  On April 30, 2015, Ford expanded the recall to cover an additional 119,567 vehicles, including certain model  year 2011 Ford Fiestas manufactured from November 11, 2009, to May 31, 2013 and certain model year 2013 Ford Fusion and Lincoln MKZ vehicles manufactured from February 1, 2012, to June  30, 2012.  A component within the door latches may break making the doors difficult to latch and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,Fiesta,2014,15V005000,09/01/2015,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Ford Motor Company (Ford) notified the agency on January 8, 2015, that they are recalling certain model year 2014 Ford Escape vehicles manufactured April 15, 2014, to May 8, 2014, and 2015 Lincoln MKC vehicles manufactured April 21, 2014, to May 15, 2014.  On April 30, 2015, Ford expanded the recall to cover an additional 45,505 vehicles, including certain model year 2014-2015 Ford Transit Connect vehicles manufactured November 11, 2013, to August 29, 2014, 2014-2015 Ford Fiesta vehicles manufactured April 10, 2014, to June 17, 2014 and 2014 Ford Edge vehicles manufactured April 30, 2014, to May 21, 2014.  Improper nickel plating of components within the fuel pump may result in the fuel pump failing.",domestic,0
3,ford,Fiesta,2014,14V402000,02/07/2014,"FUEL SYSTEM, GASOLINE:STORAGE","Ford Motor Company (Ford) is recalling certain model year 2014 Ford Fiesta vehicles manufactured October 25, 2013, to February 27, 2014.  Due to a manufacturing error, the fuel tank may leak.",domestic,0
3,ford,Fiesta,2014,20V177000,23/03/2020,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) is recalling certain 2014-2015 Fiesta, 2014-2016 Fusion and Lincoln MKZ vehicles sold, or ever registered in Alabama, Arkansas, Arizona, California, Florida, Georgia, Hawaii, Louisiana, Mississippi, New Mexico, Nevada, Oklahoma, Oregon, South Carolina, Texas, Utah, Washington, Puerto Rico, American Samoa, Guam, the Northern Mariana Islands (Saipan), and the U.S. Virgin Islands.  A component within the door latches may break making the doors difficult to latch and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,Fiesta,2014,20V331000,08/06/2020,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) is recalling certain 2011-2014 Fiesta, 2013-2014 Fusion, 2015 Mustang, 2013-2015 Escape and C-Max, 2012-2015 Focus, 2014-2016 Transit Connect, 2013-2014 Lincoln MKZ, and 2015 MKC vehicles.  These vehicles were previously recalled and repaired under recalls 15V-246, 16V-643 or 17V-210, however the repair may not have been completed properly.  A component within the door latches may break making the doors difficult to latch and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,Flex,2014,16V621000,25/08/2016,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Ford Motor Company (Ford) is recalling certain model year 2013-2015 Ford Taurus, Ford Flex, Lincoln MKS and Lincoln MKT vehicles equipped with 3.5L GTDI Ecoboost engines and 2013-2015 Ford Taurus Police Interceptor vehicles.  A component within the fuel pump electric module (PEM) may overheat causing a loss of electrical power to the fuel pump.",domestic,0
3,ford,Flex,2014,14V710000,07/11/2014,SEATS,"Ford Motor Company (Ford) is recalling certain model year 2014 Ford F-150 and Flex vehicles manufactured March 1, 2014, to May 31, 2014.  The affected vehicles were manufactured with a reduced clearance between the seat frame and the seat track assembly.  This can cause the Occupant Classification System (OCS) to inaccurately register passenger weight and improperly suppress the passenger front airbag when the passenger seat is occupied by an adult passenger.  Thus, these vehicles fail to comply with Federal Motor Vehicle Safety Standard (FMVSS) No. 208, ""Occupant Crash Protection.""",domestic,1
3,ford,Flex,2014,14V393000,02/07/2014,POWER TRAIN:AXLE ASSEMBLY:AXLE SHAFT,"Ford Motor Company (Ford) is recalling certain model year 2012-2014 Ford Edge and Lincoln MKX vehicles manufactured September 2, 2010, to November 30, 2013; 2013-2014 Ford Taurus and Lincoln MKS vehicles manufactured August 25, 2011, to November 30, 2013; and 2013-2014 Ford Flex and Lincoln MKT vehicles manufactured September 12, 2011, to November 30, 2013.  In the affected vehicles, the halfshaft retention circlip may not have been properly installed, and as a result, the halfshaft may move outward and disengage from the linkshaft while driving and without prior warning.",domestic,0
3,ford,Flex,2014,20V072000,10/02/2020,SUSPENSION:REAR,Ford Motor Company (Ford) is recalling certain 2013-2018 Lincoln MKT and Ford Flex and Taurus vehicles with the Police Interceptor or SHO Performance Pack.  The rear suspension toe links may fracture due to stress on the rear suspension.,domestic,0
3,ford,E-450,2014,19V401000,29/05/2019,EQUIPMENT,"VCI Emergency Vehicle Specialists (VCI) is recalling certain 2017-2018 Ford F-550, 2014 E-350 and E-450, 2015 F-250 and F-450, 2016 E-450, 2017 E-350, F-450 and E-450, 2018 F-350, 2010 E-450, 2005-2006 E-450, 2009 E-450 and Chevrolet C4500-based Type I and Type III ambulances equipped with ASA Electronics Voyager monitors used to display the back-up camera image.  The monitors may unexpectedly revert back to the factory default settings which may cause the camera image to be reversed.",domestic,0
3,ford,E-450,2014,19V313000,18/04/2019,SEATS,"Mobility Transportation Services (MobilityTrans) is recalling certain 2014-2018 Ford Transit and Ram Promaster vehicles and 2014-2015 Ford Econoline vehicles modified to be equipped with Freedman GO-ES Foldaway Seats, part numbers 43705, 45467, 48923, and 75719.  When the back seat cushion is rotated from the stowed position to the upright position, the seat cushion may not remain locked into place when under load, such as in a crash or a sudden stop.",domestic,0
3,ford,E-450,2014,14V595000,24/09/2014,EQUIPMENT ADAPTIVE/MOBILITY,"Elkhart Coach (Elkhart) is recalling certain model year 2006-2014 Ford E-350 and Ford E-450 vehicles manufactured January 1, 2006, to May 1, 2014 and equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation.  The platform side plate of the affected wheelchair lifts may crack.",domestic,0
3,ford,E-150,2014,19V271000,03/04/2019,EQUIPMENT ADAPTIVE/MOBILITY,"Mobility Specialists, Inc. (Mobility Specialists) is recalling certain 2014-2017 Ford E-150 and Transit vans modified to be equipped with Ricon S-Series and K-Series wheel chair lifts.  The wheelchair lift positioning input cam may fail while the lift is in use, allowing the platform to travel higher than the vehicle's floor height.",domestic,0
3,ford,E-150,2014,15V729000,04/11/2015,EQUIPMENT ADAPTIVE/MOBILITY,"MobilityWorks (WMK Inc.) is recalling certain model year 2006-2014 Ford E-150, E-250, and E-350 vans modified by MobilityWorks to be equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation.  The affected lifts are equipped with folding link arms that may have pivot holes that are too big, allowing the bearings to move out of position.",domestic,0
3,ford,E-150,2014,14V097000,04/03/2014,"FUEL SYSTEM, OTHER:STORAGE","Landi Renzo USA is recalling certain model year 2011-2014 Ford E-150, E-250, and E-350 vehicles modified January 2, 2011, through February 24, 2014 to operate on compressed natural gas (CNG).  In the affected vehicles, the left and right rear brackets that support the rear CNG cylinder may fail, allowing the cylinder to dislodge from the vehicle.",domestic,0
3,ford,E-150,2014,14V584000,23/09/2014,EQUIPMENT ADAPTIVE/MOBILITY,"National Van Builders, Inc. (National Van) is recalling certain 2007-2014 Ford E-150 and E-250 vehicles manufactured February 26, 2007, to August 19, 2014, and equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation.  The platform side plate of the affected wheelchair lifts may crack.",domestic,0
3,ford,E-150,2014,14V232000,02/05/2014,EQUIPMENT ADAPTIVE/MOBILITY,"WMK Inc., doing business as Mobility Works, Inc. (Mobility), is recalling certain model year 2013-2014 Mobility-modified Ford E-150, and E-250 transit buses manufactured December 1, 2013, through January 4, 2014, and equipped with certain Ricon S series and K series wheelchair lifts, with an optional armored pendant cable.  The armored cable may be positioned such that it does not clear the wheelchair lift.",domestic,0
3,ford,E-150,2014,14V706000,05/11/2014,EQUIPMENT ADAPTIVE/MOBILITY,"Cummings Mobility Conversion & Supply (Cummings) is recalling certain model year 2006-2014 Ford E-150, E-250, E-350, Chevrolet Express, 2006-2008 Dodge Sprinter, and 2009-2014 Mercedes-Benz Sprinter, and 2013 Ford Transit Connect vehicles manufactured January 1, 2006, to October 8, 2014, equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation after January 1, 2006.  The platform side plate of the affected wheelchair lifts may crack.",domestic,0
3,ford,Taurus,2014,16V621000,25/08/2016,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Ford Motor Company (Ford) is recalling certain model year 2013-2015 Ford Taurus, Ford Flex, Lincoln MKS and Lincoln MKT vehicles equipped with 3.5L GTDI Ecoboost engines and 2013-2015 Ford Taurus Police Interceptor vehicles.  A component within the fuel pump electric module (PEM) may overheat causing a loss of electrical power to the fuel pump.",domestic,0
3,ford,Taurus,2014,14V285000,29/05/2014,EXTERIOR LIGHTING,"Ford Motor Company (Ford) is recalling certain model year 2010-2014 Taurus vehicles manufactured November 24, 2008, through February 28, 2014, originally sold in, or currently registered in, Connecticut, Delaware, Illinois, Indiana, Iowa, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, West Virginia, Wisconsin and the District of Columbia.  When used in areas that use road salt, the license plate lamp assembly may experience an electro-chemical reaction and corrosion as a result of water intrusion.",domestic,0
3,ford,Taurus,2014,14V393000,02/07/2014,POWER TRAIN:AXLE ASSEMBLY:AXLE SHAFT,"Ford Motor Company (Ford) is recalling certain model year 2012-2014 Ford Edge and Lincoln MKX vehicles manufactured September 2, 2010, to November 30, 2013; 2013-2014 Ford Taurus and Lincoln MKS vehicles manufactured August 25, 2011, to November 30, 2013; and 2013-2014 Ford Flex and Lincoln MKT vehicles manufactured September 12, 2011, to November 30, 2013.  In the affected vehicles, the halfshaft retention circlip may not have been properly installed, and as a result, the halfshaft may move outward and disengage from the linkshaft while driving and without prior warning.",domestic,0
3,ford,Taurus,2014,20V072000,10/02/2020,SUSPENSION:REAR,Ford Motor Company (Ford) is recalling certain 2013-2018 Lincoln MKT and Ford Flex and Taurus vehicles with the Police Interceptor or SHO Performance Pack.  The rear suspension toe links may fracture due to stress on the rear suspension.,domestic,0
3,ford,Taurus,2014,20V692000,10/11/2020,POWER TRAIN:AXLE ASSEMBLY:AXLE SHAFT,"Ford Motor Company (Ford) is recalling certain 2014-2016 Explorer, 2014-2015 Taurus and 2014 Edge vehicles equipped with 2.0L or 2.3L engines and front wheel drive.  The support bracket for the front drive axle halfshaft may fail.",domestic,0
3,ford,E-350,2014,19V401000,29/05/2019,EQUIPMENT,"VCI Emergency Vehicle Specialists (VCI) is recalling certain 2017-2018 Ford F-550, 2014 E-350 and E-450, 2015 F-250 and F-450, 2016 E-450, 2017 E-350, F-450 and E-450, 2018 F-350, 2010 E-450, 2005-2006 E-450, 2009 E-450 and Chevrolet C4500-based Type I and Type III ambulances equipped with ASA Electronics Voyager monitors used to display the back-up camera image.  The monitors may unexpectedly revert back to the factory default settings which may cause the camera image to be reversed.",domestic,0
3,ford,E-350,2014,19V313000,18/04/2019,SEATS,"Mobility Transportation Services (MobilityTrans) is recalling certain 2014-2018 Ford Transit and Ram Promaster vehicles and 2014-2015 Ford Econoline vehicles modified to be equipped with Freedman GO-ES Foldaway Seats, part numbers 43705, 45467, 48923, and 75719.  When the back seat cushion is rotated from the stowed position to the upright position, the seat cushion may not remain locked into place when under load, such as in a crash or a sudden stop.",domestic,0
3,ford,E-350,2014,17V472000,25/07/2017,SEAT BELTS,"Ford Motor Company (Ford) is recalling certain 2014 Ford F-150 and E-350, 2014-2015 Ford Escape, and 2015 Lincoln MKC vehicles.  Improperly manufactured bolts may have been used to install certain seats, seatbacks, seatbelt buckles, or seatbelt anchors on these vehicles.",domestic,1
3,ford,E-350,2014,16V350000,24/05/2016,EQUIPMENT ADAPTIVE/MOBILITY,"New England Wheels (New England) is recalling certain model year 2006-2014 Ford E-250, E-350, and 2015 Ford Transit vans equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts by Ricon.  The platform side plate of the affected wheelchair lifts may crack.  Additionally, the lifts are equipped with folding link arms that may have pivot holes that are too big, allowing the bearings to move out of position.",domestic,0
3,ford,E-350,2014,15V763000,17/11/2015,EQUIPMENT ADAPTIVE/MOBILITY,"Mobility Specialists, Inc. (Mobility Specialists) is recalling certain model year 2006-2014 Ford E-250, and E-350 vehicles modified to be equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation.  The platform side plate of the affected wheelchair lifts may crack.  Additionally, the affected lifts are equipped with folding link arms that may have pivot holes that are too big, allowing the bearings to move out of position.",domestic,0
3,ford,E-350,2014,14V097000,04/03/2014,"FUEL SYSTEM, OTHER:STORAGE","Landi Renzo USA is recalling certain model year 2011-2014 Ford E-150, E-250, and E-350 vehicles modified January 2, 2011, through February 24, 2014 to operate on compressed natural gas (CNG).  In the affected vehicles, the left and right rear brackets that support the rear CNG cylinder may fail, allowing the cylinder to dislodge from the vehicle.",domestic,0
3,ford,E-350,2014,14V595000,24/09/2014,EQUIPMENT ADAPTIVE/MOBILITY,"Elkhart Coach (Elkhart) is recalling certain model year 2006-2014 Ford E-350 and Ford E-450 vehicles manufactured January 1, 2006, to May 1, 2014 and equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation.  The platform side plate of the affected wheelchair lifts may crack.",domestic,0
3,ford,E-350,2014,15V779000,20/11/2015,EQUIPMENT ADAPTIVE/MOBILITY,"New England Wheels is recalling certain model year 2006-2014 Ford E-250, and E-350 cargo vans modified to be equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts built by the Ricon Corporation.  The affected lifts are equipped with folding link arms that may have pivot holes that are too big, allowing the bearings to move out of position.",domestic,0
3,ford,E-350,2014,15V729000,04/11/2015,EQUIPMENT ADAPTIVE/MOBILITY,"MobilityWorks (WMK Inc.) is recalling certain model year 2006-2014 Ford E-150, E-250, and E-350 vans modified by MobilityWorks to be equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation.  The affected lifts are equipped with folding link arms that may have pivot holes that are too big, allowing the bearings to move out of position.",domestic,0
3,ford,E-350,2014,14V617000,03/10/2014,EQUIPMENT ADAPTIVE/MOBILITY,"New England Wheels (New England) is recalling certain model year 2006-2014 E-250, and E-350 vehicles modified by New England to be equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation.  The platform side plate of the affected wheelchair lifts may crack.",domestic,0
3,ford,E-350,2014,14V706000,05/11/2014,EQUIPMENT ADAPTIVE/MOBILITY,"Cummings Mobility Conversion & Supply (Cummings) is recalling certain model year 2006-2014 Ford E-150, E-250, E-350, Chevrolet Express, 2006-2008 Dodge Sprinter, and 2009-2014 Mercedes-Benz Sprinter, and 2013 Ford Transit Connect vehicles manufactured January 1, 2006, to October 8, 2014, equipped with certain model S2005, S2010, S5005, S5010, S5505, and S5510 wheelchair lifts manufactured by Ricon Corporation after January 1, 2006.  The platform side plate of the affected wheelchair lifts may crack.",domestic,0
3,ford,F-550,2014,15V371000,15/06/2015,ENGINE AND ENGINE COOLING:EXHAUST SYSTEM,"HME, Inc. is recalling certain emergency vehicles manufactured January 1, 2014, to March 31, 2015 and built on a model year 2014-2015 Ford F-550 chassis.  The affected vehicles may detect an incorrect Exhaust Gas Temperature Sensor (EGT) fault indicating that the vehicle is too hot, causing the engine management system to shut down the engine and prevent its immediate restart.",domestic,0
3,ford,Edge,2014,15V005000,09/01/2015,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Ford Motor Company (Ford) notified the agency on January 8, 2015, that they are recalling certain model year 2014 Ford Escape vehicles manufactured April 15, 2014, to May 8, 2014, and 2015 Lincoln MKC vehicles manufactured April 21, 2014, to May 15, 2014.  On April 30, 2015, Ford expanded the recall to cover an additional 45,505 vehicles, including certain model year 2014-2015 Ford Transit Connect vehicles manufactured November 11, 2013, to August 29, 2014, 2014-2015 Ford Fiesta vehicles manufactured April 10, 2014, to June 17, 2014 and 2014 Ford Edge vehicles manufactured April 30, 2014, to May 21, 2014.  Improper nickel plating of components within the fuel pump may result in the fuel pump failing.",domestic,0
